estacion,fecha,SO2-valor,SO2-estado,NO-valor,NO-estado,NO2-valor,NO2-estado,NOX-valor,NOX-estado,CO-valor,CO-estado,O3-valor,O3-estado,PM10-valor,PM10-estado,PM25-valor,PM25-estado
Santiago - San Caetano,17/11/19 01:00,1,V,1,V,5,V,6.8,V,0.23,V,54,V,16,V,7,V
Santiago - San Caetano,17/11/19 02:00,1,V,1,V,2.2,V,3.8,V,0.21,V,56,V,14,V,10,V
Santiago - San Caetano,17/11/19 03:00,1,V,1,V,5.8,V,7.8,V,0.21,V,52,V,13,V,7,V
Santiago - San Caetano,17/11/19 04:00,1,V,1,V,4.7,V,6.5,V,0.21,V,53,V,11,V,10,V
Santiago - San Caetano,17/11/19 05:00,1,V,1,V,2.8,V,4.7,V,0.22,V,57,V,9.7,V,9.8,V
Santiago - San Caetano,17/11/19 06:00,1,V,1,V,6.8,V,8.3,V,0.22,V,49,V,8,V,6,V
Santiago - San Caetano,17/11/19 07:00,1,V,1.8,V,19,V,22,V,0.23,V,36,V,5.8,V,4,V
Santiago - San Caetano,17/11/19 08:00,1,V,1.2,V,7.8,V,9.7,V,0.19,V,60,V,3.2,V,8.8,V
Santiago - San Caetano,17/11/19 09:00,1,V,1,V,12,V,13,V,0.18,V,61,V,8,V,6,V
Santiago - San Caetano,17/11/19 10:00,1,V,1,V,9.5,V,12,V,0.18,V,63,V,8,V,5,V
Santiago - San Caetano,17/11/19 11:00,1,V,1.2,V,8,V,10,V,0.18,V,61,V,7.2,V,2,V
Santiago - San Caetano,17/11/19 12:00,1,V,1.3,V,6,V,8.2,V,0.17,V,66,V,11,V,2,V
Santiago - San Caetano,17/11/19 13:00,1,V,1,V,3,V,4.5,V,0.15,V,69,V,14,V,2,V
Santiago - San Caetano,17/11/19 14:00,1,V,1,V,2.3,V,3.7,V,0.15,V,71,V,10,V,7,V
Santiago - San Caetano,17/11/19 15:00,1,V,1,V,1.3,V,2.3,V,0.14,V,73,V,15,V,6,V
Santiago - San Caetano,17/11/19 16:00,1,V,1,V,1.7,V,2.8,V,0.15,V,69,V,16,V,6,V
Santiago - San Caetano,17/11/19 17:00,1,V,1,V,3.2,V,4.5,V,0.15,V,67,V,12,V,6,V
Santiago - San Caetano,17/11/19 18:00,1,V,1,V,6,V,7.7,V,0.17,V,63,V,7.5,V,7,V
Santiago - San Caetano,17/11/19 19:00,1,V,1,V,12,V,13,V,0.18,V,61,V,13,V,6,V
Santiago - San Caetano,17/11/19 20:00,1,V,1.8,V,15,V,18,V,0.18,V,59,V,9.2,V,6,V
Santiago - San Caetano,17/11/19 21:00,1,V,2,V,16,V,19,V,0.21,V,56,V,11,V,6.2,V
Santiago - San Caetano,17/11/19 22:00,1,V,1.3,V,13,V,15,V,0.23,V,55,V,8.3,V,10,V
Santiago - San Caetano,17/11/19 23:00,1,V,1.8,V,20,V,22,V,0.21,V,49,V,13,V,10,V
Santiago - San Caetano,18/11/19 00:00,1,V,1,V,11,V,13,V,0.18,V,57,V,9.5,V,11,V
Santiago - San Caetano,18/11/19 01:00,1,T,1,T,6.3,T,7.8,T,0.17,T,58,T,14,T,9.8,T
Santiago - San Caetano,18/11/19 02:00,1,T,1,T,2.3,T,4,T,0.16,T,64,T,9,T,6,T
Santiago - San Caetano,18/11/19 03:00,1,T,1,T,1.5,T,2.5,T,0.15,T,64,T,11,T,6,T
Santiago - San Caetano,18/11/19 04:00,1,T,1,T,1.7,T,3.2,T,0.15,T,60,T,9,T,5,T
Santiago - San Caetano,18/11/19 05:00,1,T,1,T,2.5,T,3.8,T,0.15,T,61,T,8.7,T,7,T
Santiago - San Caetano,18/11/19 06:00,1,T,5.7,T,13,T,22,T,0.15,T,48,T,5.2,T,6.2,T
Santiago - San Caetano,18/11/19 07:00,1.5,T,22,T,54,T,87,T,0.22,T,8,T,6.2,T,8,T
Santiago - San Caetano,18/11/19 08:00,3.7,T,68,T,64,T,168,T,0.33,T,1.5,T,8.7,T,11,T
Santiago - San Caetano,18/11/19 09:00,3.7,T,56,T,61,T,147,T,0.34,T,8.2,T,23,T,18,T
Santiago - San Caetano,18/11/19 10:00,2.8,T,36,T,50,T,105,T,0.28,T,13,T,16,T,11,T
Santiago - San Caetano,18/11/19 11:00,2.7,T,22,T,43,T,75,T,0.23,T,21,T,22,T,11,T
Santiago - San Caetano,18/11/19 12:00,3.5,T,20,T,44,T,74,T,0.22,T,20,T,20,T,21,T
Santiago - San Caetano,18/11/19 13:00,2,T,6.3,T,26,T,36,T,0.22,T,33,T,31,T,17,T
Santiago - San Caetano,18/11/19 14:00,2,T,5,T,19,T,26,T,0.22,T,39,T,12,T,12,T
Santiago - San Caetano,18/11/19 15:00,1.5,T,3.2,T,12,T,17,T,0.17,T,52,T,13,T,11,T
Santiago - San Caetano,18/11/19 16:00,1.8,T,3,T,14,T,18,T,0.17,T,50,T,16,T,8.2,T
Santiago - San Caetano,18/11/19 17:00,1,T,5.2,T,28,T,37,T,0.25,T,30,T,20,T,16,T
Santiago - San Caetano,18/11/19 18:00,3.7,T,66,T,66,T,168,T,0.43,T,3.3,T,18,T,11,T
Santiago - San Caetano,18/11/19 19:00,7.3,T,133,T,83,T,288,T,0.67,T,1.7,T,36,T,16,T
Santiago - San Caetano,18/11/19 20:00,12,T,215,T,98,T,429,T,0.89,T,2.2,T,45,T,22,T
Santiago - San Caetano,18/11/19 21:00,8.5,T,156,T,80,T,320,T,0.74,T,2.7,T,58,T,39,T
